tweet,date,query,replies,reposts,likes,bookmarks,views
"open smartnews and read police: 12 shot and 4 dead after a string of shootings in philadelphia here: to read it on the web, tap here:",2022-05-23 03:45:03,gun violence,0,2,0,0,0
stupid. of course we americans care about gun violence. why would you tweet/say that?,2022-05-23 03:42:03,gun violence,0,0,0,0,0
"wait, are we going to talk about afroamericans and gun violence statistics? are you opening the door for this?",2022-05-23 03:41:39,gun violence,0,0,0,0,0
":bullseye::bullseye::bullseye: proof positive that @stevendelduca is your typical, useless virtue signaling liberal. theyll claim to fight gun violence, but refuse to take the most obvious & effective step.. punish criminals & stop letting them out to commit mpre violent crimes!!",2022-05-23 03:39:30,gun violence,0,0,0,0,0
where do you live? cos ive been to all those things multiple times and never had any fear. stop living in fear. its bad for your health (no gun violence needed).,2022-05-23 03:39:24,gun violence,0,0,3,0,0
"gentlemen,everyone is angry.but what has the progressive democrat governor pritzker & mayor lightfoot done or any democrat,to stop gun violence in chicago in 50 yrs,which has strictest gun laws in country. progressive democrat policies always fails its citizenry.",2022-05-23 03:38:18,gun violence,0,0,1,0,0
my son graduated friday night and the night before he is so afraid of the gun violence he asked me if i thought we would be safe.i honestly didnt know but lied and told him yes.,2022-05-23 03:35:45,gun violence,3,0,5,0,0
is there a way to offer an alternative path for some who may be wanting an escape from the gangs ? a safe house and program to assist these individuals may be effective in stemming gun violence.,2022-05-23 03:33:30,gun violence,0,0,0,0,0
80% of gun violence and gun depths are gang related how about cleaning up the streets and having real laws and locking people up instead of going soft on crime and calling it racism about that for a change oh no you wouldnt dare think of that.,2022-05-23 03:31:32,gun violence,0,0,0,0,0
"we have inflation, covid, voting rights issues, gun violence and so much that is of a higher priority",2022-05-23 03:30:11,gun violence,0,0,0,0,0
a new teen committee surveyed 1300 students throughout the philadelphia area on gun violence solutions. better gun laws and more support for families were among the asks. via @sammycaiola,2022-05-23 03:30:01,gun violence,3,2,4,0,0
lets seewhat are the demographics on the gun violence stat. just curious.,2022-05-23 03:30:00,gun violence,0,0,1,0,0
but yet alcohol related deaths especially drunken and driving outweighs outweighs gun violence they just dont show it on the news everyday do your research are you ready to give up your booze for the sake of human life yes or no,2022-05-23 03:28:33,gun violence,0,0,0,0,0
"we have bgcs and there is no such thing as an assault weapon. we need to stop calling suicides gun violence, and start calling it what it is...selfish assholes.",2022-05-23 03:27:50,gun violence,0,0,0,0,0
"it changes the culture from gun fetishists to responsible gun owners. and, over time it will reduce gun violence...just as drunk driving laws have reduced(not eliminated)drinking & driving.",2022-05-23 03:27:39,gun violence,1,0,0,0,0
safe gun storage tips. lock up your guns! @momsdemand #gunsafety #protectkids,2022-05-23 03:25:22,gun violence,0,7,10,0,0
"looks like that is working well, disgraced @andrewcuomo . what is the percentage increase in gun violence in ny since 2020?",2022-05-23 03:25:02,gun violence,0,0,0,0,0
"to preach outrage over domestic gun violence, while openly and aggressively exporting it around the world seems a big hypocritical to say the very least. im pissed off about buffalo too, and yemen, ukraine, iraq, afghanistan, libya, syria, somalia, and palestine.",2022-05-23 03:24:50,gun violence,0,0,0,0,0
"with the current climate concerning gun violence in our community and nation, it is imperative that we have legislation to make our community safer. @anc8c will host a meeting to address bill 240760 firearm and ghost gun clarification amendment act rsvp",2022-05-23 03:22:33,gun violence,1,1,2,0,0
like why dont yall actually do something that combats gun violence instead of throwing a fit over a shirt,2022-05-23 03:20:54,gun violence,1,1,0,0,0
"i certainly agree with the sentiment, but the explanation for this is that americans are obsessed with celebrities. gun violence is just a common experience these days, unfortunately.",2022-05-23 03:20:31,gun violence,0,0,0,0,0
gun violencewhat about gang violenceprobably those goons were extreme liberals too.,2022-05-23 03:18:35,gun violence,0,0,0,0,0
"sorry, but it ticks me off that with reproductive rights under attack, racism and antisemitism skyrocketing, gun violence rampant and all elizabeth warren tweets about is forcing taxpayers to pay privileged kids loans for them.",2022-05-23 03:17:56,gun violence,1,2,9,0,0
shame that there will be more control on a womans body than controlling gun violence,2022-05-23 03:16:29,gun violence,0,0,0,0,0
"combining crime and gun violence is super dishonest. inflation is the runaway number one issue. i thought it was interesting that both parties list inflation as their top concern by far, and political polarization is also vital to both sides.",2022-05-23 03:15:24,gun violence,0,2,4,0,0
"a gun buyback program has netted dozens of weapons in new york city, where authorities are battling a wave of gun violence.",2022-05-23 03:15:04,gun violence,1,0,0,1,0
"nope. gun violence is a subset of violent crime. if overall violent crime doesnt go down, then nothing has been accomplished.",2022-05-23 03:10:17,gun violence,0,0,0,0,0
will you speak up for the kids whose heart beats were stopped by gun violence? or are kids no longer valuable after they are born?,2022-05-23 03:09:32,gun violence,3,0,1,0,0
"reproductive rights, racism, gun violence. you clearly dont care about any of that. youre one of the richest members of congress. write the little bastards a check if you think theyre too special to repay their love and stop screaming at the president",2022-05-23 03:07:54,gun violence,0,0,1,0,0
jokes abt gun violence arent funny.,2022-05-23 03:04:55,gun violence,2,0,0,0,0
one of the main reasons i am making the decision to get out of the military was bc i missed my family. hearing about all this gun violence and senseless death going on in york is sickening. i want my family out of there. not looking forward to returning.,2022-05-23 03:03:35,gun violence,0,1,1,0,0
police: 12 shot and 4 dead after a string of shootings in philadelphia  wpvitv via @googlenews,2022-05-23 03:02:51,gun violence,0,0,0,0,0
"i pray for the buffalo victims too. have you seen the daily gun violence in the cities? the ones due to bail reform? you should be sick about every single life lost,not just the ones that promote your agenda.",2022-05-23 03:02:48,gun violence,0,0,2,0,0
"nasser nash baker is a daycrawler, filming the aftermath of shootings and police violence in south l.a. thats ignored by local media. were here to film the officer with their knees on peoples necks. from @abene_writes in partnership w/ @guardian:",2022-05-23 03:02:00,gun violence,0,0,0,1,0
"more kids die of starvation every week then the amount of people killed in the atomic bombs of wwii. over 10,000 kids die every year from gun violence. over 10 times that many die from lack of health care. dear @gop how is that being prolife?",2022-05-23 03:01:45,gun violence,0,0,1,0,0
3. socalled gun violence reduction teams (gang units) have a history of racial profiling and harassment. spd is no exception.,2022-05-23 02:58:40,gun violence,1,0,9,1,0
